filepath,labels
324060.wav,0
324061.wav,0
324062.wav,0
324063.wav,0
40413.wav,0
40408.wav,0
40409.wav,0
40410.wav,0
40411.wav,0
40412.wav,0
40415.wav,0
40414.wav,0
40417.wav,0
40418.wav,0
40426.wav,0
40419.wav,0
40420.wav,0
40421.wav,0
40423.wav,0
40424.wav,0
40425.wav,0
40427.wav,0
40428.wav,0
2547.wav,0
40429.wav,0
40430.wav,0
2550.wav,0
40431.wav,0
40432.wav,0
40433.wav,0
40442.wav,0
40434.wav,0
40435.wav,0
40436.wav,0
40437.wav,0
40439.wav,0
40440.wav,0
40441.wav,0
40443.wav,0
40444.wav,0
40445.wav,0
40446.wav,0
40447.wav,0
40448.wav,0
40449.wav,0
40450.wav,0
40451.wav,0
40452.wav,0
40453.wav,0
40454.wav,0
40462.wav,0
40455.wav,0
40456.wav,0
40457.wav,0
40458.wav,0
40459.wav,0
40468.wav,0
40460.wav,0
40461.wav,0
135703.wav,0
40463.wav,0
40473.wav,0
40465.wav,0
40466.wav,0
40476.wav,0
237085.wav,0
40406.wav,0
40470.wav,0
40471.wav,0
40472.wav,0
40407.wav,0
237083.wav,0
40475.wav,0
40477.wav,0
40478.wav,0
40479.wav,0
237087.wav,0
40481.wav,0
40483.wav,0
40484.wav,0
40485.wav,0
40493.wav,0
40486.wav,0
40488.wav,0
40489.wav,0
40492.wav,0
40498.wav,0
40499.wav,0
40491.wav,0
106030.wav,0
40495.wav,0
50743.wav,0
50744.wav,0
50745.wav,0
40497.wav,0
40500.wav,0
40501.wav,0
40502.wav,0
40503.wav,0
40504.wav,0
40505.wav,0
40506.wav,0
40507.wav,0
40508.wav,0
40509.wav,0
40510.wav,0
40511.wav,0
40512.wav,0
40520.wav,0
40521.wav,0
40513.wav,0
40514.wav,0
369228.wav,0
40518.wav,0
40519.wav,0
40522.wav,0
40416.wav,0
40524.wav,0
40526.wav,0
40527.wav,0
40529.wav,0
40530.wav,0
40531.wav,0
40528.wav,0
202331.wav,0
324199.wav,0
324200.wav,0
324201.wav,0
324202.wav,0
324203.wav,0
324204.wav,0
324205.wav,0
324206.wav,0
40422.wav,0
11889.wav,0
11890.wav,0
11891.wav,0
11892.wav,0
11894.wav,0
11895.wav,0
11896.wav,0
11897.wav,0
11898.wav,0
11899.wav,0
11900.wav,0
11901.wav,0
11902.wav,0
11903.wav,0
11904.wav,0
11905.wav,0
11906.wav,0
134790.wav,0
348813.wav,0
372378.wav,0
372383.wav,0
372384.wav,0
372385.wav,0
372386.wav,0
372387.wav,0
372388.wav,0
372389.wav,0
372390.wav,0
372392.wav,0
241337.wav,0
40438.wav,0
97224.wav,0
202245.wav,0
3651.wav,0
378579.wav,0
3652.wav,0
265983.wav,0
265984.wav,0
64709.wav,0
265986.wav,0
265988.wav,0
266025.wav,0
266026.wav,0
128818.wav,0
128819.wav,0
128820.wav,0
128821.wav,0
128822.wav,0
128823.wav,0
128824.wav,0
128825.wav,0
128826.wav,0
128827.wav,0
128828.wav,0
128829.wav,0
128830.wav,0
128831.wav,0
128832.wav,0
128833.wav,0
40464.wav,0
128834.wav,0
128835.wav,0
128837.wav,0
128838.wav,0
128839.wav,0
128836.wav,0
128841.wav,0
128842.wav,0
128843.wav,0
128844.wav,0
128840.wav,0
40467.wav,0
40469.wav,0
133992.wav,0
133993.wav,0
133994.wav,0
133997.wav,0
183553.wav,0
133999.wav,0
134000.wav,0
134003.wav,0
134005.wav,0
134006.wav,0
134008.wav,0
134009.wav,0
134010.wav,0
134011.wav,0
134013.wav,0
183556.wav,0
237088.wav,0
40480.wav,0
63386.wav,0
63387.wav,0
40482.wav,0
63388.wav,0
63389.wav,0
63390.wav,0
275366.wav,0
64705.wav,0
18350.wav,0
18351.wav,0
18352.wav,0
18353.wav,0
18354.wav,0
18355.wav,0
18356.wav,0
40487.wav,0
158649.wav,0
158650.wav,0
158651.wav,0
97216.wav,0
97217.wav,0
97218.wav,0
97219.wav,0
97220.wav,0
97221.wav,0
97222.wav,0
97223.wav,0
64710.wav,0
97225.wav,0
97226.wav,0
97227.wav,0
97228.wav,0
97229.wav,0
97230.wav,0
97231.wav,0
97232.wav,0
97233.wav,0
97234.wav,0
97235.wav,0
97236.wav,0
97237.wav,0
97238.wav,0
97239.wav,0
97240.wav,0
97241.wav,0
40494.wav,0
97243.wav,0
64713.wav,0
97245.wav,0
97246.wav,0
97247.wav,0
97248.wav,0
97249.wav,0
97250.wav,0
97251.wav,0
40496.wav,0
106031.wav,0
268254.wav,0
64759.wav,0
268255.wav,0
268256.wav,0
268257.wav,0
268258.wav,0
64716.wav,0
268260.wav,0
268261.wav,0
268262.wav,0
268263.wav,0
268265.wav,0
268266.wav,0
268268.wav,0
268269.wav,0
268270.wav,0
64719.wav,0
174080.wav,0
322561.wav,0
423340.wav,0
233484.wav,0
233485.wav,0
195601.wav,0
353298.wav,0
195603.wav,0
195604.wav,0
195602.wav,0
423342.wav,0
87064.wav,0
63520.wav,0
63521.wav,0
47138.wav,0
63523.wav,0
63524.wav,0
378917.wav,0
47142.wav,0
47141.wav,0
47140.wav,0
63522.wav,0
94250.wav,0
16427.wav,0
16428.wav,0
271401.wav,0
418860.wav,0
208948.wav,0
34873.wav,0
130105.wav,0
80954.wav,0
68669.wav,0
326723.wav,0
270405.wav,0
270406.wav,0
270408.wav,0
118862.wav,0
391246.wav,0
250962.wav,0
140371.wav,0
80979.wav,0
80980.wav,0
52307.wav,0
140375.wav,0
349274.wav,0
91227.wav,0
349275.wav,0
349276.wav,0
347229.wav,0
349279.wav,0
349277.wav,0
17502.wav,0
349280.wav,0
6243.wav,0
349281.wav,0
212066.wav,0
349283.wav,0
232549.wav,0
232552.wav,0
349282.wav,0
232551.wav,0
223341.wav,0
223342.wav,0
223343.wav,0
232559.wav,0
232560.wav,0
232562.wav,0
85108.wav,0
349278.wav,0
324732.wav,0
410754.wav,0
85131.wav,0
240780.wav,0
319631.wav,0
66709.wav,0
84118.wav,0
360599.wav,0
212118.wav,0
324760.wav,0
410783.wav,0
34977.wav,0
324776.wav,0
85164.wav,0
410798.wav,0
379057.wav,0
379058.wav,0
379059.wav,0
368821.wav,0
169146.wav,0
410815.wav,0
35010.wav,0
35011.wav,0
195782.wav,0
345290.wav,0
276230.wav,0
410840.wav,0
156891.wav,0
410848.wav,0
323809.wav,0
83189.wav,0
257273.wav,0
335099.wav,0
410879.wav,0
261379.wav,0
362759.wav,0
362760.wav,0
362761.wav,0
217375.wav,0
151842.wav,0
360739.wav,0
432422.wav,0
364848.wav,0
364850.wav,0
133426.wav,0
360763.wav,0
152894.wav,0
19778.wav,0
257347.wav,0
79172.wav,0
63813.wav,0
63814.wav,0
79171.wav,0
257346.wav,0
329031.wav,0
329032.wav,0
329033.wav,0
79173.wav,0
79174.wav,0
407890.wav,0
188754.wav,0
325970.wav,0
63827.wav,0
250194.wav,0
250195.wav,0
366930.wav,0
91481.wav,0
63834.wav,0
91482.wav,0
207196.wav,0
91483.wav,0
60765.wav,0
60766.wav,0
60767.wav,0
60768.wav,0
218465.wav,0
218466.wav,0
218467.wav,0
60770.wav,0
218468.wav,0
218470.wav,0
218471.wav,0
37225.wav,0
324699.wav,0
218472.wav,0
218473.wav,0
218474.wav,0
63854.wav,0
79212.wav,0
168307.wav,0
184692.wav,0
185733.wav,0
79238.wav,0
381321.wav,0
185737.wav,0
185738.wav,0
185741.wav,0
185742.wav,0
341397.wav,0
341398.wav,0
341399.wav,0
341400.wav,0
341401.wav,0
341402.wav,0
341403.wav,0
341404.wav,0
341405.wav,0
341406.wav,0
184735.wav,0
184736.wav,0
184737.wav,0
184738.wav,0
184739.wav,0
184740.wav,0
184741.wav,0
184742.wav,0
184743.wav,0
184744.wav,0
341408.wav,0
341409.wav,0
341410.wav,0
341411.wav,0
341412.wav,0
341413.wav,0
423336.wav,0
423337.wav,0
341418.wav,0
423338.wav,0
423339.wav,0
407988.wav,0
97373.wav,0
423341.wav,0
423343.wav,0
71090.wav,0
423344.wav,0
207293.wav,0
113095.wav,0
50631.wav,0
341407.wav,0
185812.wav,0
51669.wav,0
51671.wav,0
190945.wav,0
341414.wav,0
214510.wav,0
341415.wav,0
216565.wav,0
341416.wav,0
211447.wav,0
341417.wav,0
211453.wav,0
211454.wav,0
181757.wav,0
181758.wav,0
181759.wav,0
181760.wav,0
181761.wav,0
187144.wav,0
341419.wav,0
341420.wav,0
187146.wav,0
79373.wav,0
79375.wav,0
268824.wav,0
196124.wav,0
201251.wav,0
201252.wav,0
395824.wav,0
393777.wav,0
233011.wav,0
233013.wav,0
31295.wav,0
212544.wav,0
378270.wav,0
368203.wav,0
363089.wav,0
363090.wav,0
212398.wav,0
198243.wav,0
407143.wav,0
407144.wav,0
199281.wav,0
425590.wav,0
163450.wav,0
163452.wav,0
268930.wav,0
276101.wav,0
276104.wav,0
276108.wav,0
167564.wav,0
167565.wav,0
276111.wav,0
31376.wav,0
31377.wav,0
85645.wav,0
276113.wav,0
276115.wav,0
276114.wav,0
276117.wav,0
276119.wav,0
276126.wav,0
276128.wav,0
276129.wav,0
276130.wav,0
207523.wav,0
276132.wav,0
276135.wav,0
276136.wav,0
367273.wav,0
276137.wav,0
76460.wav,0
276142.wav,0
276147.wav,0
393908.wav,0
393909.wav,0
393910.wav,0
393911.wav,0
267956.wav,0
67255.wav,0
336571.wav,0
336572.wav,0
336573.wav,0
336574.wav,0
336575.wav,0
336576.wav,0
336577.wav,0
213698.wav,0
336578.wav,0
336579.wav,0
336581.wav,0
336580.wav,0
276158.wav,0
336584.wav,0
336585.wav,0
276162.wav,0
276170.wav,0
276171.wav,0
276173.wav,0
276175.wav,0
276176.wav,0
276177.wav,0
276182.wav,0
276183.wav,0
125656.wav,0
276184.wav,0
153302.wav,0
276186.wav,0
276190.wav,0
276191.wav,0
133856.wav,0
366306.wav,0
26339.wav,0
26340.wav,0
276197.wav,0
257766.wav,0
276196.wav,0
276200.wav,0
276201.wav,0
276199.wav,0
276206.wav,0
400112.wav,0
400113.wav,0
276208.wav,0
400115.wav,0
400116.wav,0
276209.wav,0
160502.wav,0
276212.wav,0
276217.wav,0
421627.wav,0
140383.wav,0
121601.wav,0
133890.wav,0
276226.wav,0
121604.wav,0
121605.wav,0
121606.wav,0
121607.wav,0
121608.wav,0
121609.wav,0
187145.wav,0
187147.wav,0
187143.wav,0
121613.wav,0
121614.wav,0
428815.wav,0
422671.wav,0
121615.wav,0
422670.wav,0
94993.wav,0
174864.wav,0
187148.wav,0
235278.wav,0
32518.wav,0
235279.wav,0
153364.wav,0
250650.wav,0
264987.wav,0
325406.wav,0
218912.wav,0
362272.wav,0
265011.wav,0
391988.wav,0
166712.wav,0
185145.wav,0
243517.wav,0
233286.wav,0
64327.wav,0
64328.wav,0
64329.wav,0
233288.wav,0
132938.wav,0
132939.wav,0
327500.wav,0
233290.wav,0
153427.wav,0
29524.wav,0
33624.wav,0
32600.wav,0
32601.wav,0
32602.wav,0
32603.wav,0
32605.wav,0
32606.wav,0
131935.wav,0
32607.wav,0
32608.wav,0
367462.wav,0
76650.wav,0
255850.wav,0
276159.wav,0
392056.wav,0
66434.wav,0
213923.wav,0
233386.wav,0
233401.wav,0
271295.wav,0
233410.wav,0
181189.wav,0
29642.wav,0
29643.wav,0
235268.wav,0
272335.wav,0
29648.wav,0
29649.wav,0
235480.wav,0
235481.wav,0
235482.wav,0
423331.wav,0
191457.wav,0
423332.wav,0
423333.wav,0
383977.wav,0
46059.wav,0
46060.wav,0
423334.wav,0
391150.wav,0
423335.wav,0
17501.wav,0
15355.wav,0
383998.wav,0
257494.wav,0
87315.wav,0
326991.wav,0
419469.wav,0
327142.wav,0
391942.wav,0
391951.wav,0
403457.wav,0
402958.wav,0
425496.wav,0
66585.wav,0
66586.wav,0
29724.wav,0
427039.wav,0
83488.wav,0
184355.wav,0
254507.wav,0
352305.wav,0
68657.wav,0
26176.wav,0
26177.wav,0
125520.wav,0
322129.wav,0
322130.wav,0
19026.wav,0
371833.wav,0
371853.wav,0
179858.wav,0
179860.wav,0
179861.wav,0
179862.wav,0
179863.wav,0
179864.wav,0
179865.wav,0
379034.wav,0
179867.wav,0
424604.wav,0
424603.wav,0
179868.wav,0
179866.wav,0
377496.wav,0
32417.wav,0
113319.wav,0
145577.wav,0
47275.wav,0
21687.wav,0
77509.wav,0
182474.wav,0
255699.wav,0
255700.wav,0
254678.wav,0
212182.wav,0
212186.wav,0
212187.wav,0
431841.wav,0
175842.wav,0
178402.wav,0
175844.wav,0
175843.wav,0
175846.wav,0
175847.wav,0
175848.wav,0
175849.wav,0
175850.wav,0
175851.wav,0
175852.wav,0
162541.wav,0
162540.wav,0
175855.wav,0
175856.wav,0
175853.wav,0
171249.wav,0
175854.wav,0
174840.wav,0
174841.wav,0
170243.wav,0
164625.wav,0
164626.wav,0
164627.wav,0
331540.wav,0
331542.wav,0
264993.wav,0
364839.wav,0
49974.wav,0
6984.wav,0
381774.wav,0
381775.wav,0
419695.wav,0
419698.wav,0
425848.wav,0
2937.wav,0
329612.wav,0
162702.wav,0
162703.wav,0
399254.wav,0
433578.wav,0
117165.wav,0
239030.wav,0
239031.wav,0
254907.wav,0
178115.wav,0
221644.wav,0
73168.wav,0
377300.wav,0
377302.wav,0
175845.wav,0
27881.wav,0
27882.wav,0
176634.wav,0
176638.wav,0
403455.wav,0
379754.wav,0
379756.wav,0
162443.wav,0
268015.wav,0
151359.wav,0
275558.wav,0
138465.wav,0
138468.wav,0
221639.wav,0
418706.wav,0
138277.wav,0
371200.wav,0
371201.wav,0
159745.wav,0
246275.wav,0
154627.wav,0
154629.wav,0
257030.wav,0
257031.wav,0
154628.wav,0
319497.wav,0
257033.wav,0
257034.wav,0
349188.wav,0
257028.wav,0
159750.wav,0
159753.wav,0
268809.wav,0
76817.wav,0
159754.wav,0
159755.wav,0
253973.wav,0
262679.wav,0
262680.wav,0
274460.wav,0
338973.wav,0
121886.wav,0
106014.wav,0
254508.wav,0
244782.wav,0
156209.wav,0
332850.wav,0
156212.wav,0
332853.wav,0
88121.wav,0
370234.wav,0
361532.wav,0
251965.wav,0
184896.wav,0
251969.wav,0
326208.wav,0
328259.wav,0
111172.wav,0
111173.wav,0
111178.wav,0
33872.wav,0
111185.wav,0
223824.wav,0
89682.wav,0
89683.wav,0
383062.wav,0
326231.wav,0
241756.wav,0
270430.wav,0
270431.wav,0
392801.wav,0
421017.wav,0
262759.wav,0
201321.wav,0
327792.wav,0
324725.wav,0
133751.wav,0
54909.wav,0
54910.wav,0
242815.wav,0
65152.wav,0
34952.wav,0
60042.wav,0
60044.wav,0
370317.wav,0
370318.wav,0
370319.wav,0
370320.wav,0
74384.wav,0
370323.wav,0
406163.wav,0
406164.wav,0
406166.wav,0
251541.wav,0
406165.wav,0
215189.wav,0
406170.wav,0
406171.wav,0
406172.wav,0
406173.wav,0
406168.wav,0
255126.wav,0
406176.wav,0
251553.wav,0
406177.wav,0
63137.wav,0
322205.wav,0
108192.wav,0
269480.wav,0
251562.wav,0
168621.wav,0
253614.wav,0
325812.wav,0
194237.wav,0
156868.wav,0
23750.wav,0
319688.wav,0
379081.wav,0
319691.wav,0
12500.wav,0
74969.wav,0
233689.wav,0
339682.wav,0
337635.wav,0
162536.wav,0
162537.wav,0
98536.wav,0
335092.wav,0
326391.wav,0
345336.wav,0
326392.wav,0
31482.wav,0
55035.wav,0
404223.wav,0
77056.wav,0
320767.wav,0
244999.wav,0
319751.wav,0
148628.wav,0
107273.wav,0
28426.wav,0
255252.wav,0
116507.wav,0
16675.wav,0
364836.wav,0
253732.wav,0
364838.wav,0
364837.wav,0
364840.wav,0
143658.wav,0
16682.wav,0
16684.wav,0
249645.wav,0
147244.wav,0
249646.wav,0
249648.wav,0
249647.wav,0
16687.wav,0
16691.wav,0
16692.wav,0
16693.wav,0
16688.wav,0
165166.wav,0
184623.wav,0
365379.wav,0
151876.wav,0
237381.wav,0
151877.wav,0
362311.wav,0
110378.wav,0
365389.wav,0
365390.wav,0
381776.wav,0
364369.wav,0
22877.wav,0
181601.wav,0
253285.wav,0
253286.wav,0
209767.wav,0
236904.wav,0
370025.wav,0
236905.wav,0
56167.wav,0
56171.wav,0
56170.wav,0
388972.wav,0
315758.wav,0
364911.wav,0
159743.wav,0
65929.wav,0
329610.wav,0
329611.wav,0
162188.wav,0
222607.wav,0
360336.wav,0
329623.wav,0
329624.wav,0
62878.wav,0
162719.wav,0
219558.wav,0
369574.wav,0
254894.wav,0
116664.wav,0
362938.wav,0
362939.wav,0
268221.wav,0
362942.wav,0
362943.wav,0
362944.wav,0
261056.wav,0
393662.wav,0
393665.wav,0
393666.wav,0
393667.wav,0
203720.wav,0
275401.wav,0
102858.wav,0
275402.wav,0
147242.wav,0
128459.wav,0
316882.wav,0
316883.wav,0
316884.wav,0
258002.wav,0
316886.wav,0
256469.wav,0
81882.wav,0
169955.wav,0
34280.wav,0
325098.wav,0
93676.wav,0
379376.wav,0
353265.wav,0
368626.wav,0
349171.wav,0
379379.wav,0
379381.wav,0
379382.wav,0
379383.wav,0
277508.wav,0
379385.wav,0
379386.wav,0
379389.wav,0
115199.wav,0
386800.wav,0
195607.wav,0
14361.wav,0
14362.wav,0
14363.wav,0
267290.wav,0
15394.wav,0
179237.wav,0
68653.wav,0
162865.wav,0
27701.wav,0
27702.wav,0
179267.wav,0
68694.wav,0
418912.wav,0
194657.wav,0
188518.wav,0
145513.wav,0
321643.wav,0
188524.wav,0
119917.wav,0
377987.wav,0
379012.wav,0
396423.wav,0
331913.wav,0
194698.wav,0
32912.wav,0
331922.wav,0
331923.wav,0
331924.wav,0
331925.wav,0
331926.wav,0
331927.wav,0
245910.wav,0
213155.wav,0
213166.wav,0
152753.wav,0
152754.wav,0
152758.wav,0
265403.wav,0
26832.wav,0
344272.wav,0
377046.wav,0
216279.wav,0
216280.wav,0
211162.wav,0
256222.wav,0
396536.wav,0
379130.wav,0
379138.wav,0
434464.wav,0
268586.wav,0
368943.wav,0
378161.wav,0
66876.wav,0
274751.wav,0
319808.wav,0
319806.wav,0
11585.wav,0
319813.wav,0
140613.wav,0
257350.wav,0
39241.wav,0
39242.wav,0
140616.wav,0
39244.wav,0
140617.wav,0
204116.wav,0
204118.wav,0
204124.wav,0
204126.wav,0
204128.wav,0
204135.wav,0
380273.wav,0
100733.wav,0
380285.wav,0
156031.wav,0
100738.wav,0
350617.wav,0
219551.wav,0
245167.wav,0
72113.wav,0
427459.wav,0
427461.wav,0
30164.wav,0
62936.wav,0
378330.wav,0
62940.wav,0
62942.wav,0
62944.wav,0
244193.wav,0
188903.wav,0
75252.wav,0
88567.wav,0
176650.wav,0
114193.wav,0
135699.wav,0
121366.wav,0
114203.wav,0
24103.wav,0
36392.wav,0
84526.wav,0
390717.wav,0
89871.wav,0
89872.wav,0
242254.wav,0
89873.wav,0
94800.wav,0
242262.wav,0
369238.wav,0
89875.wav,0
242269.wav,0
242270.wav,0
89876.wav,0
242272.wav,0
397923.wav,0
366188.wav,0
275065.wav,0
255617.wav,0
255619.wav,0
255622.wav,0
255624.wav,0
212633.wav,0
174749.wav,0
255648.wav,0
408225.wav,0
242338.wav,0
242339.wav,0
242340.wav,0
242341.wav,0
255650.wav,0
255651.wav,0
255652.wav,0
242345.wav,0
255654.wav,0
255658.wav,0
255659.wav,0
255662.wav,0
255668.wav,0
242359.wav,0
242360.wav,0
242361.wav,0
242362.wav,0
242363.wav,0
47804.wav,0
242367.wav,0
186049.wav,0
114371.wav,0
114374.wav,0
242376.wav,0
242377.wav,0
368330.wav,0
89805.wav,0
242384.wav,0
89809.wav,0
89811.wav,0
89812.wav,0
242389.wav,0
89813.wav,0
242391.wav,0
89815.wav,0
242394.wav,0
242395.wav,0
89821.wav,0
368352.wav,0
89825.wav,0
199400.wav,0
406249.wav,0
89834.wav,0
88811.wav,0
406251.wav,0
393965.wav,0
88820.wav,0
88821.wav,0
88822.wav,0
88826.wav,0
415482.wav,0
88829.wav,0
242433.wav,0
89859.wav,0
88837.wav,0
88838.wav,0
88839.wav,0
197383.wav,0
88841.wav,0
89860.wav,0
242443.wav,0
242444.wav,0
88843.wav,0
94987.wav,0
89862.wav,0
151305.wav,0
89866.wav,0
88850.wav,0
89870.wav,0
242453.wav,0
242454.wav,0
88855.wav,0
88856.wav,0
88857.wav,0
88858.wav,0
88859.wav,0
242460.wav,0
242457.wav,0
88862.wav,0
242462.wav,0
89884.wav,0
89886.wav,0
88866.wav,0
88870.wav,0
88871.wav,0
88872.wav,0
88876.wav,0
88881.wav,0
89907.wav,0
88884.wav,0
89908.wav,0
88886.wav,0
89909.wav,0
88888.wav,0
132918.wav,0
89911.wav,0
88891.wav,0
88892.wav,0
88893.wav,0
89912.wav,0
88895.wav,0
89914.wav,0
89915.wav,0
88898.wav,0
89916.wav,0
88900.wav,0
89917.wav,0
89921.wav,0
88903.wav,0
89922.wav,0
89923.wav,0
89924.wav,0
166732.wav,0
89925.wav,0
88910.wav,0
88912.wav,0
88914.wav,0
88915.wav,0
238418.wav,0
71510.wav,0
51038.wav,0
208740.wav,0
208741.wav,0
259949.wav,0
88951.wav,0
88952.wav,0
88953.wav,0
63353.wav,0
88955.wav,0
88958.wav,0
89910.wav,0
88962.wav,0
353155.wav,0
88969.wav,0
65418.wav,0
88971.wav,0
88975.wav,0
88976.wav,0
112546.wav,0
126889.wav,0
324555.wav,0
9164.wav,0
324557.wav,0
377805.wav,0
219090.wav,0
378850.wav,0
179171.wav,0
179172.wav,0
179173.wav,0
179174.wav,0
179175.wav,0
235496.wav,0
179177.wav,0
383978.wav,0
235497.wav,0
9205.wav,0
9206.wav,0
360438.wav,0
120527.wav,0
120528.wav,0
163731.wav,0
434144.wav,0
327494.wav,0
109754.wav,0
379905.wav,0
336386.wav,0
53763.wav,0
53764.wav,0
274448.wav,0
407060.wav,0
161813.wav,0
24090.wav,0
324122.wav,0
24091.wav,0
57373.wav,0
104990.wav,0
387615.wav,0
333349.wav,0
333350.wav,0
121895.wav,0
333351.wav,0
14891.wav,0
398720.wav,0
233006.wav,0
128049.wav,0
406065.wav,0
250943.wav,0
189504.wav,0
7744.wav,0
49730.wav,0
171076.wav,0
423493.wav,0
154695.wav,0
21066.wav,0
94802.wav,0
337492.wav,0
365653.wav,0
61013.wav,0
270423.wav,0
94808.wav,0
50775.wav,0
19035.wav,0
50782.wav,0
50785.wav,0
119908.wav,0
50789.wav,0
371817.wav,0
389226.wav,0
181355.wav,0
389228.wav,0
97389.wav,0
174703.wav,0
119923.wav,0
389240.wav,0
68729.wav,0
335992.wav,0
76923.wav,0
190081.wav,0
209028.wav,0
3205.wav,0
76934.wav,0
261256.wav,0
406664.wav,0
406666.wav,0
406667.wav,0
406668.wav,0
406669.wav,0
406670.wav,0
406671.wav,0
406665.wav,0
132239.wav,0
190092.wav,0
348816.wav,0
212116.wav,0
319637.wav,0
190101.wav,0
319639.wav,0
32920.wav,0
190103.wav,0
348818.wav,0
348820.wav,0
319132.wav,0
50845.wav,0
42142.wav,0
348825.wav,0
348826.wav,0
215712.wav,0
215711.wav,0
387955.wav,0
78500.wav,0
410792.wav,0
45522.wav,0
233135.wav,0
233136.wav,0
190128.wav,0
134831.wav,0
103604.wav,0
261302.wav,0
382649.wav,0
258237.wav,0
190657.wav,0
46274.wav,0
46275.wav,0
79043.wav,0
100035.wav,0
180935.wav,0
36554.wav,0
269003.wav,0
371915.wav,0
317131.wav,0
36557.wav,0
240333.wav,0
398032.wav,0
269008.wav,0
269009.wav,0
269010.wav,0
348372.wav,0
207573.wav,0
207574.wav,0
398039.wav,0
41176.wav,0
25819.wav,0
263899.wav,0
27361.wav,0
371427.wav,0
207597.wav,0
204013.wav,0
207601.wav,0
204017.wav,0
207603.wav,0
71924.wav,0
277237.wav,0
155898.wav,0
63739.wav,0
207612.wav,0
332028.wav,0
170750.wav,0
212734.wav,0
349440.wav,0
349441.wav,0
204034.wav,0
349442.wav,0
210180.wav,0
261381.wav,0
168703.wav,0
263945.wav,0
263946.wav,0
201995.wav,0
263947.wav,0
263948.wav,0
263950.wav,0
263951.wav,0
114444.wav,0
158481.wav,0
66323.wav,0
63764.wav,0
410391.wav,0
5913.wav,0
151840.wav,0
84623.wav,0
324387.wav,0
9508.wav,0
320293.wav,0
319269.wav,0
147751.wav,0
429356.wav,0
212787.wav,0
243519.wav,0
421184.wav,0
238403.wav,0
323396.wav,0
323397.wav,0
323398.wav,0
198473.wav,0
320330.wav,0
423242.wav,0
